,Plot,Genre
134,film open outbreak war previous peac kingdom wredpryd count ferdinand inventor new submarin assign command new ship battl king wredpryd order count sink propatria countri civilian ship believ carri munit well civilian passeng mind eye count see vision would happen sent torpedo crash liner recoil refus follow order say obey order higher power realiz crew carri order count fight crew blow submarin send bottom sea count soul descend purgatori encount jesus jesus announc count find redempt return live world voic peac jesus tell count peac thee child thi love human thi redempt thi earth bodi return thi voic plead peac much evil wrought name count return life stone revil countrymen put trial king modern pontius pilat sentenc death five thousand women gather palac sing song peac plead king end war mother plea inspir king visit cell condemn count count found dead cell jesus emerg count bodi take king tour battlefield jesus ask see thi handiwork thi reign thi domain hath becom rage hell film famous scene jesus walk battlefield amid carnag war sign peac treati follow close scene depict happi store return soldier,1
251,describ film magazin john trembl hatton cashier contract concern succumb temptat steal employ run away hide begin fear detect isol island becom bit human driftwood fish find bodi dead man listen voic evil exchang cloth mutil head corps find bodi report famili begin life anew polic continu search murder trembl final brought trial meanwhil jane trembl william former wife becom wife governor recogn john trembl see court dramat trial john trembl found guilti murder nobli meet death electr chair rather bring unhappi former wife,1
692,mother bernl widow bavaria four son franz johann andrea joseph joseph receiv job offer unit state given money travel mother first world war heat franz alreadi serv german armi join first johann andrea forc armi america joseph marri run delicatessen america enter war joseph enlist fight american side joseph enlist discov caus problem mother bernl shun villag franz johann kill eastern front andrea wound western front die arm brother joseph,1
491,kerri harlan la rocqu unabl work injur battl shark youth wife ami reynold becom fashion model away home bertha wife surgeon tri forc attent kerri accident kill attempt evad husband scandal ami court toni chan return husband find near death gas fume attempt make suicid spirit reject side learn truth bertha spirit fight way back life,1
442,describ film magazin board director main manufactur compani american villag harmonvill send young elmer harmon blue pari obtain contract french govern pari elmer meet dancer cleo pari murray cast asid rich would-b sweetheart fall love busi affair appear hopeless help secur contract coupl marri return harmonvill gala given elmer honor save villag prosper citizen shock cleo parisian fashion elmer sell interest coupl move new york citi give cleo luxuri accustom elmer moment weak forg uncl name arrest endeavor get elmer troubl cleo return stage break promis made husband elmer releas jail promis uncl noth cleo immedi tri look find appear compromis innoc situat decid bad thing said cleo true return harmonvill heartbroken cleo return franc seek seclus normandi three year later elmer find cleo along littl son name reconcili,1
293,silent film femm fatal louis glaum portray role mignon parisian music hall celebr mignon marri young american civil engin john stanley portray matt moor stanley transfer egypt work engin project sahara mignon son portray pat moor join stanley desert unhappi life desert mignon leav stanley son desert move cairo wealthi baron alexi portray edwin steven mignon live baron alexi palac stanley goe blind becom addict drug hasheesh mignon later encount stanley son becom beggar street cairo mignon return desert care husband two reconcil,1
357,describ film magazin david mark dexter affect ruth anderson swanson follow childhood deepen womanhood young man mean crippl daughter blacksmith david persuad father allow educ return school father realiz david attitud toward ruth plan marriag ruth father wish marri jim dirk blue young lover heart year later jim kill subway accid ruth return father forgiv find blind spark forg way counti poorhous stubborn unforg take life david rescu offer protect name child born wife eventu realiz great love refus admit anyth gratitud preach housekeep mcdowel effect bring reconcili ruth father littl boy bobbi moor becom member happi household,1
295,base upon plot summari includ film review film public nora ferguson american heiress court lord bissett gambl visit england overhear bissett discuss sister need nora money replenish fortun leav move nearbi cottag success playwright sir howard furniv stephenson assist prepar play base upon novel written keep secret wife dori dean jealous bissett obtain page manuscript nora handwrit endur term give dori tell love letter husband lead death furniv nora blame ostrac nora chang name goe venic meet becom engag english armi offic sir ralph newel carleton marriag confess letter never receiv upon return england discov husband brother dori curs woman caus sister death bissett reveal newel nora end melodrama lover reunit venic,1
268,describ film magazin dr edward mead dexter close friend richard burton forman rival hand sylvia norcross swanson men volunt fight war although sylvia favor dr mead proud edward put uniform head children hospit work come convinc true duti lie surgeon skill need edward resign commiss sylvia disgust perceiv cowardic marri richard day leav regiment europ richard conceal hurt devot hospit betti hoyt hawley friend sylvia also hide disappoint feel richard sylvia use time aid poor famili new york lower east side come home one night run littl girl giraci car turn orphan father die front europ sylvia take child recuper home learn child may never walk seek best surgeon sylvia find one gone fight dr mead edward consent best child meanwhil richard front line calm face possibl death wound battl find lost right hand sever injur left side face ask friend tell wife kill battl back new york sylvia come better understand edward charact care orphan news richard death come turn edward man alway love betti accus love edward cannot deni wait suitabl amount time edward ask sylvia marri consent day engag announc richard return home receiv new prosthet hand work face guest hail richard hero edward face situat quiet leav sylvia tri take life richard alon richard beam joy cannot hide avers wound quick understand richard bitter reproach leav meet betti hall tell happen happili say take sylvia place richard accept embrac sylvia goe see edward home find chair orphan lap say tri stay richard love edward strong richard follow sylvia arriv ensu convers result peac content four parti instead ruin live,1
300,describ film magazin paul perri hugh son wealthi iron manufactur hamilton perri nichol open love younger daughter reverend matthew barker hall older daughter practic secret love young coupl get marri child born year later mother die almost insan grief husband reproach clergyman preach doctrin god inflict children sorrow unabl reconcil sorrow leav slum chicago search truth connect purpos god meanwhil son bob alexand care wife sister paul decid leav chicago freight train return home town spend night father barn next morn bob spent night grandfath goe barn feed puppi discov sleep man hay talk paul sister-in-law come barn recogn paul discov child also subplot involv feud wealthi iron manufactur worker,1
