,Plot,Genre
458,ball celebr wed henri navarr august evil queen mother catherin de medici josephin crowel persuad son king charl ix sign decre extermin huguenot meanwhil ball comt de la roch courtenay foot put move margot de vaincoir betti francisco fiancé rupert de vrieac conway tearl de la roch de vrieac enemi year rupert challeng comt duel duel rupert win spare comt life oblig rupert margot huguenot comt cathol queen mother parti comt sent kill rupert instead take margot hous put guard mob attack comt say arrang spare rupert agre becom servant five year plead margot rupert agre comt take rupert castl two sister yoeland norma talmadg crippl ann jeann carpent live yoeland despis find rupert howev captur wolf escap threaten ann yet rupert defeat bare hand attitud start soften yoeland goe see cousin denis forc uncl loui de la roch arrang marriag duc de tour yoeland take rupert escort howev denis love phillip de voi poor nobleman anton rupert servant bring word margot de vaincoir marri someon els duc tour wallac beeri arriv wed denis father call pari leav duc charg castl duc reveal drunken brute terror serf tri seduc yoeland servant girl kill guardsman lover castl guard determin aveng dead comrad yoeland direct rupert protect duc sinc uncl guest rupert men battl castl guard father paul denis confessor escap bring back phillip de voi men save fight yoeland realiz love rupert howev find lock blond hair doublet nurs wound rupert back health think rupert still love margot yoeland stop duc tortur dead guardsman brother lover instig attack phillip de voi denis elop duc allow happen intend threaten rupert blind hot poker forc yoeland marri agre guardsmen save rupert duc duel duc stab back lover guardsman kill yoeland request brother releas rupert oath yoeland learn blond hair ann doll gave rupert token yoeland rupert becom engag,1
57,describ blurb foreman sawmil misconstru disappear ward taken drastic measur protect guardian interest startl incid reveal girl motiv,1
258,cheng huan richard barthelmess leav nativ china dream spread gentl messag buddha anglo-saxon land ideal fade face brutal realiti london gritti inner-c howev mission final realiz devot broken blossom luci burrow lillian gish beauti unwant abus daughter boxer battl burrow donald crisp beaten discard one even rage father luci find sanctuari cheng home beauti exot room shop cheng nurs luci back health two form bond two unwant outcast societi goe astray luci father get wind daughter whereabout drunken rage drag back home punish fear life luci lock insid closet escap contemptu father time cheng arriv rescu luci innoc ador late luci lifeless bodi lie modest bed battl drink room cheng gaze luci youth face spite circumst beam innoc even slightest hint smile battl enter room make escap two stand long exchang spite glanc battl lung cheng hatchet cheng retali shoot burrow repeat handgun return home luci bodi cheng build shrine buddha take life knife chest,1
266,describ film magazin blue jean billi dean prosper young woman crook live apart denizen underworld pull mani robberi high societi world help pal shaver michael de grass billi gain admiss vanderhoof dinner engag daughter lord chesterton hall announc dinner progress billi gag handcuff special offic detect wood ross proceed make wholesal robberi guest flee automobil none succeed track save lord chesterton make prison polic raid follow must flee lord chesterton succeed follow make prison learn trust love special agent shaver michael arriv scene result complic happi end result,1
457,ambros applejohn bore life cornwal live ward poppi fair decid sell countri estat find excit elsewher sever stranger appear door claim reason noth sale one woman say russian dancer tri defect man claim look coupl say car broken applejohn assum realli prospect buyer investig home night applejohn dream pirat captain applejack visitor appear dream adversari next day discov visitor thiev hunt treasur map hidden hous applejohn fair overcom crimin decid life cornwal excit enough,1
31,irish boy olcott emigr america escap desper poverti ireland find work construct find success polit return ireland receiv letter sweetheart gauntier destitut famili forc land,1
117,consid coward fiancé comrad arm british armi offic redeem,1
220,socialit penniless orphan lili bart live wealthi aunt insist take upon rich husband balk idea remain faith impecuni sweetheart lawrenc selden henri kolker lili desir maintain luxuri lifestyl accept financi favor marri millionair refus surrend virtu return discov saint selden fool around anoth man wife,1
268,describ film magazin dr edward mead dexter close friend richard burton forman rival hand sylvia norcross swanson men volunt fight war although sylvia favor dr mead proud edward put uniform head children hospit work come convinc true duti lie surgeon skill need edward resign commiss sylvia disgust perceiv cowardic marri richard day leav regiment europ richard conceal hurt devot hospit betti hoyt hawley friend sylvia also hide disappoint feel richard sylvia use time aid poor famili new york lower east side come home one night run littl girl giraci car turn orphan father die front europ sylvia take child recuper home learn child may never walk seek best surgeon sylvia find one gone fight dr mead edward consent best child meanwhil richard front line calm face possibl death wound battl find lost right hand sever injur left side face ask friend tell wife kill battl back new york sylvia come better understand edward charact care orphan news richard death come turn edward man alway love betti accus love edward cannot deni wait suitabl amount time edward ask sylvia marri consent day engag announc richard return home receiv new prosthet hand work face guest hail richard hero edward face situat quiet leav sylvia tri take life richard alon richard beam joy cannot hide avers wound quick understand richard bitter reproach leav meet betti hall tell happen happili say take sylvia place richard accept embrac sylvia goe see edward home find chair orphan lap say tri stay richard love edward strong richard follow sylvia arriv ensu convers result peac content four parti instead ruin live,1
245,describ film magazin maria valverda bara refus attent diablo ramirez nye start insurrect among nativ filipino maria father ramon kill maria held hostag get word capt paul winter rosco american troop manila come assist troop outnumb made prison revolt revolutionist maria paul attempt escap caught brought back manila headquart troubl suspect reinforc sent long revolt subdu peac reign maria home happi betroth maria paul,1
